Num1,Num2,Num3,Num4,Num5,Num6,bnsNum,총1등당첨금,1등당첨인원,1등수령액
4,24,25,27,34,35,2,13188937875,11,1198994353
8,17,20,27,37,43,6,12178198500,30,405939950
6,7,15,22,34,39,28,14192222250,5,2838444450
1,12,13,21,32,45,14,13894975125,8,1736871891
29,31,35,38,40,44,17,14086440375,8,1760805047
1,7,14,20,34,37,41,12305471250,11,1118679205
3,6,20,24,27,44,25,13526973750,1,13526973750
1,10,20,32,35,40,43,13308242250,10,1330824225
2,7,17,28,29,39,37,13497788625,6,2249631438
13,14,17,32,41,42,6,13627787250,2,6813893625
11,17,21,24,26,36,12,13688218875,8,1711027360
12,20,23,28,30,44,43,14036464125,7,2005209161
4,20,26,28,35,40,31,13216485000,7,1888069286
12,15,19,26,40,43,29,13159136625,10,1315913663
11,12,25,32,44,45,23,13483019250,7,1926145608
1,4,20,23,29,45,28,13836880500,7,1976697215
5,7,18,37,42,45,20,13768561125,5,2753712225
4,11,13,17,20,31,33,12833640750,11,1166694614
5,10,16,17,31,32,21,13529149500,7,1932735643
14,19,25,26,27,34,2,13543608000,7,1934801143
4,10,18,27,40,45,38,13936515750,8,1742064469
